AnalysisPeriod,NumberOfDrivers,VoluntaryExcess,NumberOfPastClaims,NumberOfPastConvictions,ClaimLastYr,AgeMainDriver,AgeYoungestDriver,AgeYoungestAdditionalDriver,VehicleAge,VehicleValue,VehicleMileage,BonusMalusYears,PolicyTenure,GenderMainDriver,GenderYoungestDriver,MaritalMainDriver,Make,Use,PaymentMethod,PaymentFrequency,BonusMalusProtection,GenderYoungestAdditionalDriver,VehFuel1
2007,2,50,0,0,0,1,2,1,1,4,1,2,1,1,1,0,32,2,1,1,1,0,1
2007,1,100,0,0,0,3,3,1,1,0,2,2,2,0,0,0,0,2,0,0,1,0,1
2008,3,0,1,0,0,3,2,0,1,1,1,3,2,1,0,0,3,2,1,1,0,0,0
2007,2,100,0,0,0,0,0,0,1,1,3,1,0,1,1,0,36,2,1,2,1,0,1
2007,1,100,0,0,0,0,0,1,1,8,0,1,1,1,1,3,9,2,1,0,0,0,1
2007,1,100,0,0,0,0,0,1,0,7,1,3,1,1,1,0,10,0,1,0,0,0,1
2007,2,0,0,1,0,3,2,1,0,3,3,2,0,0,1,0,8,2,1,0,0,1,1
2007,2,250,0,0,0,1,2,0,0,7,3,1,0,1,0,0,9,2,1,0,1,0,1
2005,1,50,0,0,0,0,0,1,0,5,2,2,0,1,1,3,8,2,0,0,0,0,1
2005,2,50,0,0,0,0,1,0,1,6,0,1,1,1,0,0,35,3,1,0,0,0,1
2006,1,0,0,0,0,2,3,1,1,3,3,0,0,1,1,0,26,2,1,0,0,0,1
2007,2,0,0,0,0,3,2,0,0,9,1,3,2,0,1,0,23,3,1,0,0,1,1
2007,3,50,0,0,0,2,2,0,1,6,2,0,1,1,0,3,11,0,1,1,1,0,1
2007,2,100,0,0,0,0,0,0,0,8,1,0,0,1,1,0,11,2,1,1,0,0,1
2007,1,100,0,0,0,2,2,1,1,2,3,3,2,0,0,0,25,3,0,0,0,0,1
2008,2,100,0,0,0,2,3,1,1,8,2,3,2,1,0,3,3,2,0,0,1,0,1
2007,3,50,0,1,0,0,0,0,1,1,2,3,0,1,1,3,24,2,1,0,1,1,1
2006,2,0,0,0,0,1,2,1,1,1,3,3,0,0,0,0,35,2,1,0,1,1,1
2008,1,0,0,0,0,3,3,1,1,0,0,3,2,0,0,0,24,0,0,0,1,0,1
2006,2,0,0,0,0,3,0,0,1,3,0,3,2,0,1,0,9,3,1,0,1,1,1
2007,1,0,0,0,0,3,3,1,1,4,0,3,2,0,0,3,11,2,1,0,0,0,1
2008,2,0,0,0,0,1,2,0,1,1,2,1,2,1,0,0,9,3,1,0,0,0,1
2008,1,0,0,0,0,0,0,1,0,4,3,0,0,1,1,0,15,3,0,0,0,0,1
2006,2,100,0,0,0,1,2,0,1,1,2,1,0,1,1,0,21,2,1,2,0,0,1
2005,3,50,0,0,0,3,2,0,0,7,1,1,1,0,1,0,9,2,1,0,1,1,1
2007,2,0,0,1,0,2,0,0,1,1,3,1,0,0,1,0,9,2,1,3,0,1,1
2007,2,50,1,0,1,0,0,0,1,7,3,2,1,1,1,0,16,3,1,0,0,0,1
2008,2,100,0,1,0,3,1,0,1,3,3,2,2,0,1,0,36,2,1,0,1,1,1
2006,2,50,0,0,0,0,0,0,1,8,1,3,0,1,1,0,18,2,1,0,1,0,1
2006,1,0,0,0,0,1,1,1,0,3,3,2,1,0,0,3,10,3,1,2,1,0,1
